gus.buptnet.edu.cn                bupt.edu.cn
liwa.ecnu.edu.cn                  ecnu.edu.cn
dns1.shnu.edu.cn                  shnu.edu.cn
dns1.nanshan.edu.cn               nanshan.edu.cn
ns1.sues.edu.cn                   sues.edu.cn
dns1.shsmu.edu.cn                 shsmu.edu.cn
dns2.shsmu.edu.cn                 shsmu.edu.cn
cmnet.shspu.edu.cn                shspu.edu.cn
dns2.usst.edu.cn                  usst.edu.cn
dns1.usst.edu.cn                  usst.edu.cn
ns2.shmtu.edu.cn                  shmtu.edu.cn
sns.shmu.edu.cn                   shmu.edu.cn
orient.shmtu.edu.cn               shmtu.edu.cn
legend.shiep.edu.cn               shiep.edu.cn
rdns.ecupl.edu.cn                 ecupl.edu.cn
dns.ecupl.edu.cn                  ecupl.edu.cn
dns.semc.edu.cn                   semc.edu.cn
dns.hzmc.edu.cn                   hzmc.edu.cn
dns1.shfc.edu.cn                  shfc.edu.cn
dns.shfc.edu.cn                   shfc.edu.cn
dns2.shupl.edu.cn                 shupl.edu.cn
dns1.shupl.edu.cn                 shupl.edu.cn
sdns1.sandau.edu.cn               sandau.edu.cn
dns.sdju.edu.cn                   sdju.edu.cn
summer.shift.edu.cn               shift.edu.cn
spring.shift.edu.cn               shift.edu.cn
dns.esu.edu.cn                    esu.edu.cn
shcc.edu.cn                       shcc.edu.cn
sun150.hzic.edu.cn                hzic.edu.cn
dns1.nbu.edu.cn                   nbu.edu.cn
center.nbu.edu.cn                 nbu.edu.cn
nst.cjlu.edu.cn                   cjlu.edu.cn
backup.zjut.edu.cn                zjut.edu.cn
dns2.hznu.edu.cn                  hznu.edu.cn
dns1.hznu.edu.cn                  hznu.edu.cn
DNS3.nbu.edu.cn                   nbu.edu.cn
dns2.nbu.edu.cn                   nbu.edu.cn
dns2.lsu.edu.cn                   lsu.edu.cn
dns1.lsu.edu.cn                   lsu.edu.cn
dns1.sicfl.edu.cn                 sicfl.edu.cn
dns.jxvtc.edu.cn                  jxvtc.edu.cn
dns.hzrtvu.edu.cn                 hzaspt.edu.cn
ns1.zwu.edu.cn                    zwu.edu.cn
ns2.zwu.edu.cn                    zwu.edu.cn
dns1.zjicm.edu.cn                 zjicm.edu.cn
forcol2.zafu.edu.cn               zafu.edu.cn
forcol.zafu.edu.cn                zafu.edu.cn
nmc.zjnu.edu.cn                   zjnu.edu.cn
DNS1.zjsru.edu.cn                 zjsru.edu.cn
dns1.zjslc.edu.cn                 zjslc.edu.cn
ns2.zust.edu.cn                   zust.edu.cn
dns1.zjtie.edu.cn                 zjtie.edu.cn
dns2.zjiet.edu.cn                 zjiet.edu.cn
dns1.zjiet.edu.cn                 zjiet.edu.cn
dns2.hzvtc.edu.cn                 hzvtc.edu.cn
dns3.hzvtc.edu.cn                 hzvtc.edu.cn
dns.zmc.edu.cn                    zmc.edu.cn
dns2.usx.edu.cn                   usx.edu.cn
dns.zucc.edu.cn                   zucc.edu.cn
oar.jxau.edu.cn                   jxau.edu.cn
dns.jxau.edu.cn                   jxau.edu.cn
dns2.nit.edu.cn                   nit.edu.cn
dns1.nit.edu.cn                   nit.edu.cn
dns.jgsu.edu.cn                   jgsu.edu.cn
fjmunet.fjmu.edu.cn               fjmu.edu.cn
dns2.jhc.edu.cn                   jhc.edu.cn
dns.qztc.edu.cn                   qztc.edu.cn
dns2.fjut.edu.cn                  fjut.edu.cn
dns1.fjut.edu.cn                  fjut.edu.cn
dns1.mju.edu.cn                   mju.edu.cn
