
; <<>> DiG 9.9.5-W1 <<>> @dns.njupt.edu.cn axfr njupt.edu.cn
; (1 server found)
;; global options: +cmd
jxzx.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
kaoyan.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
kj.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
kjc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
kjcyzx.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
ky.njupt.edu.cn.	86400	IN	CNAME	gcampus.njupt.edu.cn.
lab.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
lhbgs.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
lib.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
cdserver.lib.njupt.edu.cn. 86400 IN	A	10.10.52.108
opac.lib.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
st2.lib.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
ltxzgc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
lx.njupt.edu.cn.	86400	IN	CNAME	gcampus.njupt.edu.cn.
lxy.njupt.edu.cn.	86400	IN	CNAME	hqc.njupt.edu.cn.
m.njupt.edu.cn.		86400	IN	NS	iwbrs.njupt.edu.cn.
mail.njupt.edu.cn.	86400	IN	CNAME	em.njupt.edu.cn.
marxism.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
mba.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
mmc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
mobiledata.njupt.edu.cn. 86400	IN	NS	iwbrs.njupt.edu.cn.
mud.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
music.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
my.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
myoa.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
www.ncig2006.njupt.edu.cn. 86400 IN	NS	iwbrs.njupt.edu.cn.
ndcc2011.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
news.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
NJUPT-SERVER0.njupt.edu.cn. 86400 IN	CNAME	dns.njupt.edu.cn.
ns.njupt.edu.cn.	86400	IN	A	202.119.236.8
nydx.njupt.edu.cn.	86400	IN	CNAME	www.njupt.edu.cn.
nyqn.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
nysk.njupt.edu.cn.	86400	IN	CNAME	nyzr.njupt.edu.cn.
nytx.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
nyzr.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
nyzy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
oa.njupt.edu.cn.	86400	IN	A	10.10.242.103
oelab.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
overseas.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
